"id","name"
"20","Vie nocturne"
"26","Shopping"
"36","Restauration"
"40","Spas et bien-être"
"41","Cours et ateliers"
"42","Visites guidées"
"47","Sites touristiques"
"48","Zoos et aquariums"
"49","Musées"
"51","Autre"
"52","Parcs aquatiques et d'attractions"
"53","Casinos et jeux"
"55","Excursions en bateau et sports nautiques"
"56","Jeux et divertissements"
"57","Espaces verts et parcs"
"58","Concerts et spectacles"
"59","Transports"
"60","Ressources touristiques"
"61","Activités de plein air"
"62","Événements"
