"id","name"
"1","Galeries d'art"
"2","Ruines anciennes"
"3","Bâtiments architecturaux"
"4","Champs de bataille"
"5","Ponts"
"6","Châteaux"
"7","Cimetières"
"8","Centres civiques"
"9","Centres de congrès et conférences"
"10","Sites sacrés et religieux"
"11","Barrages"
"12","Sites pédagogiques"
"13","Fontaines"
"14","Villes fantômes"
"15","Bâtiments gouvernementaux"
"17","Sites historiques"
"19","Zones piétonnes historiques"
"20","Îles"
"21","Bibliothèques"
"22","Phares"
"23","Bases et installations militaires"
"24","Lieux mystérieux"
"25","Missions"
"26","Monuments et statues"
"28","Musées d'art"
"29","Musées pour enfants"
"30","Musées d'histoire"
"32","Musées militaires"
"33","Musées d'histoire naturelle"
"34","Quartiers"
"35","Musées des sciences"
"39","Tours et plateformes d'observation"
"40","Observatoires et planétariums"
"45","Terrains de jeux"
"47","Piscines et plages"
"48","Offices de tourisme"
"49","Tramways"
"51","Jetées et promenades"
"52","Plages"
"53","Canyons"
"54","Grottes et cavernes"
"55","Déserts"
"56","Ferries"
"57","Forêts"
"58","Jardins"
"59","Formations géologiques"
"60","Parcours de golf"
"61","Geysers et sources chaudes"
"62","Équitation et promenades"
"63","Parcours et pistes de footing"
"64","Marinas"
"66","Montagnes"
"67","Parcs nationaux"
"68","Espaces naturels et sauvages"
"70","Parcs"
"74","Routes touristiques"
"75","Trains touristiques"
"76","Zones piétonnes panoramiques"
"77","Stations de ski et de snowboard"
"78","Stations de ski de fond"
"81","Parcs régionaux"
"83","Pistes de VTT"
"86","Balades à cheval"
"87","Randonnées"
"88","Balades en moto"
"90","Sentiers tout terrain et VTT"
"91","Navires"
"93","Vallées"
"94","Volcans"
"95","Cascades"
"97","Salles de cinéma"
"98","Parcs à thème"
"99","Bars et clubs"
"100","Clubs et bars de blues"
"101","Bars à cigares"
"102","Bars country et western"
"103","Clubs et bars gays"
"104","Clubs et bars de jazz"
"105","Karaokés"
"106","Pianos-bars"
"107","Casinos"
"108","Comedy Clubs"
"109","Discothèques"
"110","Salles de jeux et de divertissement"
"111","Spectacles"
"112","Ballets"
"113","Concerts"
"114","Opéras"
"115","Symphonies"
"116","Théâtres"
"117","Diners spectacles"
"118","Parcs aquatiques"
"119","Aquariums"
"120","Arènes et stades"
"121","Courses de chiens"
"122","Fermes"
"123","Hippodromes"
"124","Mines"
"125","Circuits automobiles"
"126","Ranchs"
"127","Spas"
"128","Bowlings"
"129","Clubs de sport/remise en forme"
"130","Centres de remise en forme"
"131","Complexes sportifs"
"132","Vignobles"
"133","Brasseries"
"134","Zoos"
"135","Parcs Disney et activités annexes"
"137","Magasins d'antiquités"
"138","Grands magasins"
"139","Visites guidées"
"140","Magasins d'usines"
"141","Visites d'entreprises"
"142","Marchés aux puces et de rue"
"143","Centres commerciaux"
"144","Boutiques de cadeaux ou spécialisées"
"161","Musées spécialisés"
"162","Plans d'eau"
"163","Sites et monuments"
"164","Récifs"
"166","Points de vue panoramiques"
"167","Croisières"
"168","Systèmes de transports collectifs"
"170","Cafés"
"172","Stations thermales japonaises"
"174","Visites en bus"
"175","Églises et cathédrales"
"176","Distilleries"
"178","Visites en Segway"
"182","Taxis et navettes"
"183","Visites pédestres"
"184","Sports nautiques"
"185","Cours et ateliers"
"186","Locations de matériel"
"187","Locations de bateaux"
"188","Observation de baleines et de dauphins"
"189","Promenades en gondole"
"190","Circuits en hors-bord"
"191","Kayak et canoë"
"192","Parachute ascensionnel et parapente"
"193","Rafting et tubing"
"194","Plongée sous-marine et avec tuba"
"195","Plongée au milieu des requins"
"196","Circuits en sous-marin"
"197","Surf, planche à voile et kitesurf"
"198","Baignade avec les dauphins"
"199","Ski nautique et jet ski"
"200","Circuits en bus amphibie"
"201","Dégustations de bières"
"202","Visites avec dégustation de café et de thé"
"203","Cours de cuisine"
"204","Circuits gourmands"
"205","Oenotourisme "
"206","Bars à vins"
"207","Marchés fermiers"
"208","Jeux d'évasion"
"209","Chasses au trésor"
"210","Stands de tir"
"211","Circuits en 4x4, VTT et tout terrain"
"212","Circuits extrêmes"
"213","Vols en montgolfière"
"214","Balades à vélo"
"215","Parcours d'escalade"
"216","Visites écologiques"
"217","Circuits de pêche en mer"
"219","Camping et randonnée"
"220","Visites sur le thème de la nature et des espaces sauvages"
"221","Sightjogging"
"222","Visites aériennes"
"223","Visites archéologiques"
"224","Visites de la ville"
"225","Visites culturelles"
"226","Visites sur le thème des fantômes et des vampires"
"227","Circuits en hélicoptère"
"228","Visites historiques à la découverte du patrimoine"
"229","Visites en bus touristique"
"230","Visites sur le thème de la littérature, de l'art et de la musique"
"231","Visites à moto"
"232","Lieux de tournage films et séries"
"233","Visites nocturnes"
"235","Circuits privés"
"236","Excursions par le train"
"237","Visites libres et locations"
"239","Visites en Vespa, scooter ou motocyclette"
"240","Visites des bars, des clubs et des pubs"
"241","Visites et défilés de mode"
"242","Circuits shopping"
"243","Safaris"
"244","Ski et visites en montagne"
"245","Parcs aventures aériens et Tyroliennes"
"246","Bains arabes"
"247","Cabarets"
"248","Spectacles du Cirque du Soleil"
"250","Hammams et bains turcs"
"251","Luaus"
"252","Bains romains"
"255","Stations thermales"
"258","Tours en bus"
"259","Gares"
"260","Yoga et Pilates"
"261","Autres jeux et divertissements"
"262","Autres options de restauration"
"263","Autres activités de plein air"
"264","Autres zoos et aquariums"
"265","Autres ranchs et fermes"
"266","Autres espaces naturels et parcs"
"267","Visites en carrioles tirées par des chevaux"
"268","Chapelles de mariage"
"269","Circuits photographiques"
"270","Stand up paddle"
"271","Mini golf"
"272","Ateliers de peinture et de poterie"
"273","Descentes en rappel et canyoning"
"274","Visites de distilleries"
"275","Universités et écoles"
"276","Cafétérias d'aéroport"
"277","Boutiques d'aéroport"
"278","Manèges et activités"
"279","Parachutisme"
"280","Expériences avec personnages Disney"
"281","Évènements sportifs"
"282","Événements culturels"
"283","Expositions"
"284","Festivals de musique"
"285","Festivals gastronomiques"
"286","Feux d'artifice saisonniers"
"287","Excursions d'une journée"
"288","Circuits de plusieurs jours"
