"id","name"
"4617","Italian"
"5086","French"
"5110","Mexican"
"5379","Chinese"
"5473","Japanese"
"9908","American"
"10345","Steakhouse"
"10346","Indian"
"10347","German"
"10348","Brazilian"
"10617","Belgian"
"10618","Irish"
"10620","Austrian"
"10621","Brew Pub"
"10622","Caribbean"
"10626","Lebanese"
"10627","Dutch"
"10628","Swiss"
"10631","Peruvian"
"10632","African"
"10633","Moroccan"
"10634","Southwestern"
"10635","Cajun & Creole"
"10636","Philippine"
"10637","Polish"
"10639","Latin"
"10640","Bar"
"10641","Pizza"
"10642","Cafe"
"10643","Seafood"
"10646","Fast food"
"10648","International"
"10649","Mediterranean"
"10651","Barbecue"
"10653","Sushi"
"10654","European"
"10655","Spanish"
"10659","Asian"
"10660","Thai"
"10661","Korean"
"10662","British"
"10663","Turkish"
"10664","Greek"
"10665","Vegetarian Friendly"
"10666","Deli"
"10668","Grill"
"10669","Contemporary"
"10670","Pub"
"10671","Fusion"
"10675","Vietnamese"
"10676","Diner"
"10679","Healthy"
"10680","Portuguese"
"10681","Australian"
"10682","Wine Bar"
"10683","Gastropub"
"10686","Street Food"
"10687","Middle Eastern"
"10690","Indonesian"
"10693","Russian"
"10696","Taiwanese"
"10697","Vegan Options"
"10698","Argentinian"
"10699","Canadian"
"10700","Soups"
"10709","New Zealand"
"10710","Yunnan"
"10711","Fujian"
"10712","Tunisian"
"10714","Singaporean"
"10715","Venezuelan"
"10717","Albanian"
"10718","Tibetan"
"10719","Welsh"
"10720","Slovenian"
"10721","Burmese"
"10722","Salvadoran"
"10724","Bahamian"
"10725","Guatemalan"
"10726","Native American"
"10727","Polynesian"
"10732","Balti"
"10734","Latvian"
"10738","Czech"
"10741","Malaysian"
"10742","Eastern European"
"10743","Croatian"
"10744","Cuban"
"10745","Scottish"
"10746","Central European"
"10747","Chilean"
"10748","Pakistani"
"10749","South American"
"10750","Hungarian"
"10751","Halal"
"10753","Swedish"
"10756","Nepalese"
"10757","Colombian"
"10760","Central American"
"10762","Scandinavian"
"10764","Danish"
"10765","Persian"
"10766","Armenian"
"10767","Bangladeshi"
"10768","Kosher"
"10769","Israeli"
"10770","Ukrainian"
"10772","Hawaiian"
"10775","Romanian"
"10777","Cambodian"
"10779","Jamaican"
"10781","Mongolian"
"10782","Norwegian"
"10783","Costa Rican"
"10784","Egyptian"
"10785","Ethiopian"
"10788","Afghani"
"10789","Puerto Rican"
"10791","Ecuadorean"
"10792","Xinjiang"
"10793","Sri Lankan"
"10992","Gluten Free Options"
"11739","Central Asian"
"11740","Uzbek"
"11741","Caucasian"
"11742","Georgian"
"11743","Azerbaijani"
"11744","Arabic"
"19227","Algerian"
"20062","Neapolitan"
"20063","Emilian"
"20064","Campania"
"20065","Calabrian"
"20066","Tuscan"
"20067","Romana"
"20068","Lazio"
"20069","Sicilian"
"20070","Lombard"
"20071","Ligurian"
"20072","Sardinian"
"20073","Apulian"
"20074","Northern-Italian"
"20075","Central-Italian"
"20076","Southern-Italian"
"20077","Catalan"
"20364","Romagna"
"21325","Kaiseki"
"21331","Kappo"
"21341","Shojin"
"21343","Fruit parlours"
"21348","Japanese sweets parlour"
"21350","Medicinal foods"
"21353","Dining bars"
"21355","Beer restaurants"
"21357","Kyoto cuisine"
"21362","Kyushu cuisine"
"21363","Beijing cuisine"
"21364","Hokkaido cuisine"
"21367","Japanese Fusion"
"21378","Assyrian"
"21380","Nigerian"
