idplace,document,review_count,doc_length
188467,hugo place victor square vosges praça piazza park marais paris arcade plaza una para gallery portici con che galeries beautiful uma casa por building restaurant palazzi architecture around arte shop art picnic del lugar parigi one visit per jardin nice house xiii surrounded muito lovely belle gallerie com giardino dart sit cafe fountain garden sully los tree très galerias bench area visita esta più questa people maison restaurantes centro darte relax parc sotto surrounding walk non vale sou cette della galerías nel grass enjoy prédios edificios muy local sus boutique barrio bastille linda bonita der many cafés como la great,5664,100
188468,rue marais bourgeois franc boutique vosges street particuliers archive uniqlo shopping улица place rambuteau soubise carnavalet lhôtel lojas hôtels siècle apartment earring musée ruas façades dhôtels ème dalbret arbalétriers très para paris вогезов negozi lamoignon cette compras beau старинная calle rua style nationales jardins del hay one peut você historique part узенькая crosstown улицы hôtel building cupboard profumerie strada много tenant jardin hérouet δρόμος カルナヴァレ博物館 centro trouve ouest livres maison bed butiques noise date средневековья площади του jean magasins карнавале payenne cendres plus vers vêtements area rosiers pompidou dorléans hôpital узкая quartiere una walk municipal judeu lot belle parigi улочка,73,100
188470,village paul antique shop rue boutique place brocante courtyard saint marais stpaul brocantes paris little one area store сентполь open vosges saintpaul cortili restaurant antiquaires cours negozi around street market thing ruelles mercaderes quartier lunch saintlouis una lot dantiquités туристов brocanteurs ile vintage shopping charlemagne sunday comunicanti sus charming saturday item small nice look dealer also price peu lugar time many weekend good promener away set walk see caravansar mercancías измерение binnenplaatsen donde visit saintantoine lovely calme find aperti way раз endroit chiusi между immeubles junk tourist camastro plated cour day petite metro להיות cafe silver ivory anticuarios caballos galeries,98,100
188471,history corkscrew owner understatement object peculiar unique marked serious specialty extraordinary très gift key partout returning chers particular tarifs bought call charmant forward item cheap patient passe delightful knowledge speak vaut miss rather coup wasnt use shop fine cela trop lieu absolutely sympathique helpful walk accueil look feel didnt another english next want dont bon lot like one time paris,2,60
188472,cloître billettes exposition église cloitre léglise carmes galeries néoclassique leglise hospitaliers lieu выставка style religieux gothique luterana luthérien médiéval ville construite siècle charité chrétienne construit paris frères himalaya œuvres catholique проводятся reconstruire cloister chapiteau claustro выставки très sculpture datent cette est concerto temporaires dexposition façade grubby ème endroit concert culte quartier сейчас belle здание napoléon siècles datant pavée vaut arcade lordre meubles chiesa seul peintures archive это exhibition cet miracle marais havre paix notamment medieval nom dorigine niveaux bel œil réformé 市庁舎からアルシーヴ通りを北へ少し行くと右手に лютеранская бийетт mabunda héraldique パリに唯一残っている中世の回廊と聞いて訪れる気になりました trémulant artisanats lagunju монастырь allhôtel ospitati carmites apaisantvisite quanimé の入口がありました édifée accrochent lhimalaya,23,100
188679,cathedral catedral dame church inside paris line beautiful see para por architecture tower visit una gargoyle mass cattedrale get queue stained la subir time visita worth view free long building filum uma climb must dentro pena outside che place torres vale cathédrale amazing window around igreja one glass não history con vista per linda interior entrar bell tour ma take gothic non top arquitetura muito vitrais walk los notredame ver собор imponente hay com people torre visitar como pero del torri religious well muy stunning entrada also wait enter gárgolas day sua early cola really visited dont gratuita impressive many,71257,100
188738,hotel room pavillon vosges breakfast reine courtyard place staff paris stay location stayed marais service beautiful spa one quiet night concierge small suite great bed restaurant bathroom lovely area helpful bar good nice comfortable perfect duplex lobby would well pavillion junior honesty excellent back square wonderful time desk bedroom day charming chambre friendly like front luxury two très floor first also walk could really located shower boutique away staying und spacious feel many little hôtel drink decorated year elegant large voges every appointed get buffet upgraded recommend da always loved lounge best right return home honor property guest everything walking,1056,100
188745,room hotel breakfast caron beaumarchais staff small stay location paris balcony marais stayed bed helpful night bathroom metro great charming floor one would desk shower restaurant street lovely clean little walk place good comfortable time friendly front day well dame perfect area wonderful close like antique coffee decorated back nice located french reception curtain really two boutique cafe tiny even shop also could many around lobby minute first quiet get much window return rivoli rue croissant everything walking enough service morning decor reservation distance district right trip loved parisian beautiful feel staying make excellent lot recommend definitely noise every english,848,100
188758,museum paris musée carnavalet history room collection free exhibit painting revolution french marais museo art lhistoire century visit musee audio museu time artifact interesting gratuit building place storia furniture proust see музей exhibition closed salles garden sign display model city très one história beautiful worth mansion many vosges révolution gratuito period visite well tableau maquettes napoleon also old plus great really much objets marcel della guide enseignes would like renovation historia che hour english rivoluzione get parigi admission fouquet shop cest two exposition lot non sculpture permanent bastille lovely gallery per day object courtyard interessante pièces item cidade section audioguide,1296,100
188875,skate roller randonnée skater paris coquillages skating patins ride sunday people grupo freinage cortège dimanches nomades rando slow way patinadores organized sécurité tous group roule staff bulots police cest glisse débutants super rider must crowd stop beginner friday one découvrir bastille event route dynamic pari sport outing traffic lorganisation ela able bonheur aprendendo endurants ladeira rolcoq skatenight aidants organysed sécurisent ambulância frear cruzamentos conhecesse participam pmam tstop thousand redécouvrir muita fun bring parcours randonnées teilzunehmen senor wöchentlich lambulance marshalling rodinhas patinage caíram patrolled largeness top pessoas tout com whelk rollen adhérents promenezvous puxar avancés empurrando participa blading patinando trajectoire staffé,25,100
